Comment_Id,Dataset,Comment,User_Rated_Sexism,User_Reasoning,Perspective_Toxicity,Perspective_Identity_Attack,Perspective_Insult,Perspective_Profanity,GPT_Sexism_Rating,GPT_Sexism_Score,Community
2,call_me,MENTION3111 MENTION3424 ladyboner deserves so much more credit than dudeboner. #bonerdebate #reddetails,False,Not a direct statement of sexist opinion,0.46,0.05,0.17,0.42,2.0,40.0,A
10,call_me,All my sons have grown up with computer games but I'm not interested. I see them as a male thing. MENTION203,True,Behaviorial Expectations,0.11,0.06,0.03,0.04,2.0,30.0,A
12,benevolent,"Woman are the future. Rise up, Stand up, Shine on. 
#adaywithoutwomen
#internationalwomensday… https://t.co/Nc7PsmLiN2",False,Not a direct statement of sexist opinion,0.22,0.28,0.06,0.03,1.0,0.0,C
19,call_me,"Lo cewek ya? ""MENTION4162: I have zero tolerance for cowok riwil. Riwil is girls' nature.""",False,Maybe Sexist - needs more context,0.38,0.37,0.28,0.23,3.0,70.0,A
23,hostile,MENTION996 you don't understand my intent,False,Not a direct statement of sexist opinion,0.11,0.0,0.03,0.02,1.0,0.0,B
29,benevolent,"Lucky is the man who is the first love of a woman, but luckier is the woman who is the last love of a man.

Always MARVOREE",False,Not a direct statement of sexist opinion,0.11,0.08,0.03,0.01,2.0,30.0,C
57,hostile,#TweetLikeAFeminist  #GamerGate an outlandish satirical piece of writing that takes a hearty stab at new Feminism http://t.co/N5E3hQ92ml,False,Not a direct statement of sexist opinion,0.13,0.1,0.04,0.07,3.0,75.0,B
62,benevolent,Look like a girl. act like a lady. think like a man. work like a boss.,False,Not a direct statement of sexist opinion,0.31,0.22,0.25,0.08,3.0,70.0,C
85,hostile,I talk with a number of single American ladies who can't understand why they can't keep a partner. If I told them they'd call me sexist.,False,Maybe Sexist - needs more context,0.32,0.24,0.15,0.14,2.0,30.0,B
86,hostile,"mmmm Good luck MENTION3536 😄 let us know how you go? Still think u & MENTION395 should enter #MKR 😄 more cooking, less bitching mmmm",True,Behaviorial Expectations,0.45,0.09,0.27,0.43,3.0,65.0,B
95,benevolent,MENTION3074 Was it Marylin M who said that a woman who aspires to be as good as man lacks ambition...!? ;),False,Not a direct statement of sexist opinion,0.13,0.06,0.05,0.02,2.0,30.0,C
97,call_me,this is the ideal female form https://t.co/bZK9Hb2Y8Y,False,Maybe Sexist - needs more context,0.14,0.06,0.02,0.08,3.0,75.0,A
104,call_me,I hate having guys for teachers,True,Stereotypes and Comparative opinions,0.42,0.37,0.24,0.24,2.0,25.0,A
105,call_me,A female can't tell me nothing bout sports. Sorry I grew up in a sports crazed house.,True,Stereotypes and Comparative opinions,0.37,0.37,0.27,0.17,3.0,70.0,A
