Comment_Id,Dataset,Comment,User_Is_Sexist,Perspective_Toxicity,Perspective_Identity_Attack,Perspective_Insult,Perspective_Profanity,Perspective_Threat,Perspective_Sexually_Explicit,Sexist,GPT_Sexism_Rating,GPT_Sexism_Score,GPT_Sexism_Rating_Probability,GPT__Sexism_Score_Probability,content,majority_content
2,call_me,MENTION3111 MENTION3424 ladyboner deserves so much more credit than dudeboner. #bonerdebate #reddetails,False,0.4645176,0.053399716,0.16824563,0.4185329,0.011638066,0.48746863,0,2.0,40.0,99.91,5.2,"[5, 6, 6, 6, 5]",6
10,call_me,All my sons have grown up with computer games but I'm not interested. I see them as a male thing. MENTION203,True,0.11316007,0.059311368,0.029934563,0.044417568,0.008336896,0.04115297,1,2.0,30.0,50.0,79.65,"[1, 1, 2, 2, 1]",1
12,benevolent,"Woman are the future. Rise up, Stand up, Shine on. 
#adaywithoutwomen
#internationalwomensday… https://t.co/Nc7PsmLiN2",False,0.21776234,0.2783691,0.06424874,0.030138692,0.027688526,0.031139946,0,1.0,0.0,100.0,99.96,"[6, 6, 6, 6, 6]",6
19,call_me,"Lo cewek ya? ""MENTION4162: I have zero tolerance for cowok riwil. Riwil is girls' nature.""",False,0.37751234,0.36702603,0.2817503,0.22663295,0.015774792,0.19678192,0,3.0,70.0,98.16,61.28,"[2, 6, 1, 5, 5]",5
23,hostile,MENTION996 you don't understand my intent,False,0.11036996,0.0045692353,0.027730936,0.024472807,0.008738215,0.014213498,0,1.0,0.0,100.0,100.0,"[6, 5, 6, 6, 6]",6
29,benevolent,"Lucky is the man who is the first love of a woman, but luckier is the woman who is the last love of a man.

Always MARVOREE",False,0.11098998,0.078392304,0.026702631,0.014532468,0.0066927844,0.027365407,0,2.0,30.0,99.78,78.0,"[6, 6, 6, 1, 6]",6
57,hostile,#TweetLikeAFeminist  #GamerGate an outlandish satirical piece of writing that takes a hearty stab at new Feminism http://t.co/N5E3hQ92ml,False,0.12867521,0.10221587,0.037980765,0.06596114,0.03407705,0.044863105,0,3.0,75.0,14.8,25.57,"[6, 6, 3, 4, 6]",6
62,benevolent,Look like a girl. act like a lady. think like a man. work like a boss.,False,0.3057765,0.22063516,0.24561718,0.0816113,0.008453408,0.053873435,0,3.0,70.0,99.32,58.1,"[1, 2, 6, 6, 6]",6
85,hostile,I talk with a number of single American ladies who can't understand why they can't keep a partner. If I told them they'd call me sexist.,False,0.32182294,0.24150419,0.14512913,0.13961408,0.0086087575,0.34189308,0,2.0,30.0,81.76,65.73,"[6, 2, 6, 5, 5]",5
86,hostile,"mmmm Good luck MENTION3536 😄 let us know how you go? Still think u & MENTION395 should enter #MKR 😄 more cooking, less bitching mmmm",True,0.45090583,0.08500996,0.26957804,0.42709363,0.038220957,0.28330317,1,3.0,65.0,43.78,38.31,"[6, 1, 1, 6, 2]",1
95,benevolent,MENTION3074 Was it Marylin M who said that a woman who aspires to be as good as man lacks ambition...!? ;),False,0.12867521,0.060220852,0.04969218,0.015044857,0.006433869,0.014331453,0,2.0,30.0,98.59,76.63,"[6, 1, 6, 6, 6]",6
97,call_me,this is the ideal female form https://t.co/bZK9Hb2Y8Y,False,0.14082454,0.056582913,0.021868404,0.08355101,0.010188141,0.16909409,0,3.0,75.0,88.05,64.41,"[5, 1, 6, 2, 5]",5
104,call_me,I hate having guys for teachers,True,0.42349213,0.37082586,0.23704576,0.2395431,0.012078222,0.028309042,1,2.0,25.0,97.9,50.42,"[2, 2, 3, 6, 2]",2
105,call_me,A female can't tell me nothing bout sports. Sorry I grew up in a sports crazed house.,True,0.36867723,0.36702603,0.26957804,0.16729468,0.0070164283,0.038453113,1,3.0,70.0,99.02,39.92,"[2, 2, 2, 2, 1]",2
108,benevolent,A woman who can't cook can just do as good as keeping a man as the woman who can cook if you ask me 🤷🏽‍♀️,False,0.19789438,0.16587129,0.056133457,0.026727317,0.0066086366,0.03956291,0,2.0,25.0,77.73,16.39,"[6, 6, 6, 6, 6]",6
119,call_me,women can't drive. The only exception: danica patrick.,True,0.45761138,0.5135796,0.37166002,0.07223598,0.009463178,0.028780859,1,4.0,85.0,79.82,25.33,"[2, 2, 2, 2, 3]",2
123,hostile,RT MENTION2547 I'm not sexist but the Men's skill sets and abilities are just leagues above the women's. Much more entertaining. #Olympics,True,0.30452284,0.33060804,0.082866095,0.09899642,0.012440704,0.1963861,1,3.0,75.0,97.97,93.21,"[2, 2, 2, 2, 2]",2
126,hostile,RT MENTION2783 MENTION3161 I'm not sexist but i just don't believe in women being president,True,0.47119883,0.55011386,0.32211447,0.18909787,0.012285355,0.17671418,1,3.0,70.0,98.2,13.08,"[3, 2, 3, 1, 3]",3
137,call_me,if a women don't know how to cook and take care of house she ain't a real women.,True,0.36095104,0.41052565,0.24630153,0.07449899,0.008000307,0.03397085,1,4.0,90.0,81.76,61.67,"[2, 2, 1, 2, 1]",2
139,call_me,Soccer is 1 of two sports (tennis) where the women's version is not painful to watch due to inferior athletes. im right,True,0.3389984,0.3758158,0.25205973,0.08678388,0.00899713,0.038679544,1,4.0,90.0,59.27,26.05,"[2, 3, 3, 6, 2]",2
147,hostile,"Ever consider they're not FOR you and no one cares? MENTION3450 I'm not sexist, but nothing bores me more than feminist novels.",True,0.39644176,0.34324843,0.24928534,0.16682947,0.008323951,0.1786192,1,3.0,65.0,67.92,25.37,"[4, 3, 6, 2, 6]",6
148,call_me,I just can’t handle these birds commentating on football matches 😩😩,False,0.28548008,0.034816213,0.21135417,0.08840031,0.008893564,0.041506317,0,3.0,70.0,95.25,30.97,"[6, 1, 2, 6, 6]",6
149,hostile,MENTION3569 MENTION487: I'm not sexist but fuck if you're a woman and you can't Cook get your shit together.,True,0.9288007,0.5135796,0.6261769,0.85672,0.100830056,0.46473637,1,3.0,75.0,99.03,63.96,"[2, 2, 2, 1, 1]",2
152,benevolent,"“She’s so beautiful she’s so precious,” he said and I thought, “welcome to being a woman."" #everydaysexism… https://t.co/4mfF4WbZq2",True,0.2028889,0.03636306,0.024768941,0.14490221,0.00933372,0.3716922,1,2.0,30.0,95.79,74.62,"[2, 2, 5, 2, 6]",2
154,hostile,"#MKR ah girls, you are dumb if you really believe you have pretty faces.",False,0.718943,0.26833034,0.6991143,0.40878695,0.010602405,0.12286287,0,3.0,70.0,86.7,20.02,"[2, 5, 2, 6, 5]",2
156,hostile,RT MENTION1004 Go ahead and call me sexist but I do not trust girls in a gun store.,True,0.4269174,0.40883094,0.26957804,0.2347036,0.035113025,0.33251616,1,3.0,75.0,99.24,84.86,"[2, 1, 2, 2, 2]",2
158,hostile,".MENTION2265 MENTION3044 Real world evidence of this, please.",False,0.031213367,0.0057346676,0.0105148945,0.017094411,0.0091524795,0.013505772,0,1.0,0.0,100.0,100.0,"[6, 6, 5, 6, 6]",6
181,benevolent,"Love Her like He does
Respect her the same way 
Not only today
Everyday is #womensDay MENTION482 #RespectWomenLikeSRK… https://t.co/cSPetP3bTU",False,0.03875561,0.01274247,0.013858915,0.027273865,0.008712323,0.046629835,0,1.0,0.0,100.0,99.29,"[6, 6, 6, 6, 6]",6
188,hostile,"MENTION370 MENTION3621 That's what I thought at first...haven't read comics in a while, so...I have no reference.  Awesome job if fake.",False,0.12520397,0.006178642,0.036809623,0.03464781,0.009178371,0.018047014,0,1.0,0.0,100.0,100.0,"[6, 6, 6, 6, 6]",6
202,call_me,you know I'm right.,False,0.018095128,0.0040512653,0.008728883,0.015625564,0.007922632,0.00979021,0,1.0,0.0,100.0,100.0,"[6, 6, 6, 6, 6]",6
212,benevolent,#ADayWithoutWomen TY for waking up the real women from #weshowup 👏🏻👏🏻 https://t.co/xiGw18XIZY,False,0.20839658,0.24150419,0.077136256,0.043165036,0.015602129,0.04062295,0,1.0,0.0,5.34,99.91,"[6, 6, 6, 5, 6]",6
215,hostile,"MENTION1185 MENTION1897 Is that just a male thing? Whenever I click on ""Female friendly/female choice"" porn, it's same as main content.",False,0.3969567,0.10221587,0.061976057,0.29209393,0.010343489,0.46263552,0,2.0,25.0,99.81,33.32,"[6, 5, 5, 6, 6]",6
231,call_me,"I think all women should be in the 49kg weight division, sports or not.",True,0.27750343,0.31307843,0.06564732,0.03690237,0.016465442,0.025360184,1,3.0,75.0,99.34,85.89,"[2, 1, 6, 2, 1]",1
